id,period,gender,age_group,brand,ratio,timestamp
2250,2024-01-02,male,20대,링티,32.54,2025-03-24 12:29:23.227681
2249,2024-01-02,male,20대,토레타,9.83,2025-03-24 12:29:23.227681
2247,2024-01-02,male,20대,게토레이,12.88,2025-03-24 12:29:23.227681
2248,2024-01-02,male,20대,파워에이드,9.49,2025-03-24 12:29:23.227681
2246,2024-01-02,male,20대,포카리스웨트,35.25,2025-03-24 12:29:23.227681
4490,2024-01-02,male,30대,링티,35.77,2025-03-24 12:29:23.227681
4489,2024-01-02,male,30대,토레타,14.36,2025-03-24 12:29:23.227681
4487,2024-01-02,male,30대,게토레이,7.05,2025-03-24 12:29:23.227681
4488,2024-01-02,male,30대,파워에이드,9.32,2025-03-24 12:29:23.227681
4486,2024-01-02,male,30대,포카리스웨트,33.5,2025-03-24 12:29:23.227681
6730,2024-01-02,male,40대,링티,33.14,2025-03-24 12:29:23.227681
6729,2024-01-02,male,40대,토레타,7.93,2025-03-24 12:29:23.227681
6727,2024-01-02,male,40대,게토레이,10.48,2025-03-24 12:29:23.227681
6728,2024-01-02,male,40대,파워에이드,10.2,2025-03-24 12:29:23.227681
6726,2024-01-02,male,40대,포카리스웨트,38.24,2025-03-24 12:29:23.227681
8970,2024-01-02,male,50대,링티,31.01,2025-03-24 12:29:23.227681
8969,2024-01-02,male,50대,토레타,1.9,2025-03-24 12:29:23.227681
8967,2024-01-02,male,50대,게토레이,9.49,2025-03-24 12:29:23.227681
8968,2024-01-02,male,50대,파워에이드,9.49,2025-03-24 12:29:23.227681
8966,2024-01-02,male,50대,포카리스웨트,48.1,2025-03-24 12:29:23.227681
11210,2024-01-02,male,60대 이상,링티,21.28,2025-03-24 12:29:23.227681
11209,2024-01-02,male,60대 이상,토레타,4.26,2025-03-24 12:29:23.227681
11207,2024-01-02,male,60대 이상,게토레이,12.77,2025-03-24 12:29:23.227681
11208,2024-01-02,male,60대 이상,파워에이드,2.13,2025-03-24 12:29:23.227681
11206,2024-01-02,male,60대 이상,포카리스웨트,59.57,2025-03-24 12:29:23.227681
13455,2024-01-03,female,10대,링티,11.76,2025-03-24 12:29:23.227681
13454,2024-01-03,female,10대,토레타,5.88,2025-03-24 12:29:23.227681
13452,2024-01-03,female,10대,게토레이,20.59,2025-03-24 12:29:23.227681
13453,2024-01-03,female,10대,파워에이드,13.24,2025-03-24 12:29:23.227681
13451,2024-01-03,female,10대,포카리스웨트,48.53,2025-03-24 12:29:23.227681
15695,2024-01-03,female,20대,링티,47.22,2025-03-24 12:29:23.227681
15694,2024-01-03,female,20대,토레타,8.84,2025-03-24 12:29:23.227681
15692,2024-01-03,female,20대,게토레이,9.6,2025-03-24 12:29:23.227681
15693,2024-01-03,female,20대,파워에이드,8.84,2025-03-24 12:29:23.227681
15691,2024-01-03,female,20대,포카리스웨트,25.51,2025-03-24 12:29:23.227681
17935,2024-01-03,female,30대,링티,58.7,2025-03-24 12:29:23.227681
17934,2024-01-03,female,30대,토레타,11.34,2025-03-24 12:29:23.227681
17932,2024-01-03,female,30대,게토레이,4.25,2025-03-24 12:29:23.227681
17933,2024-01-03,female,30대,파워에이드,4.25,2025-03-24 12:29:23.227681
17931,2024-01-03,female,30대,포카리스웨트,21.46,2025-03-24 12:29:23.227681
20175,2024-01-03,female,40대,링티,50.57,2025-03-24 12:29:23.227681
20174,2024-01-03,female,40대,토레타,5.49,2025-03-24 12:29:23.227681
20172,2024-01-03,female,40대,게토레이,5.87,2025-03-24 12:29:23.227681
20173,2024-01-03,female,40대,파워에이드,10.61,2025-03-24 12:29:23.227681
20171,2024-01-03,female,40대,포카리스웨트,27.46,2025-03-24 12:29:23.227681
22415,2024-01-03,female,50대,링티,49.78,2025-03-24 12:29:23.227681
22414,2024-01-03,female,50대,토레타,1.78,2025-03-24 12:29:23.227681
22412,2024-01-03,female,50대,게토레이,5.33,2025-03-24 12:29:23.227681
22413,2024-01-03,female,50대,파워에이드,8.44,2025-03-24 12:29:23.227681
22411,2024-01-03,female,50대,포카리스웨트,34.67,2025-03-24 12:29:23.227681
24655,2024-01-03,female,60대 이상,링티,41.67,2025-03-24 12:29:23.227681
24654,2024-01-03,female,60대 이상,토레타,4.17,2025-03-24 12:29:23.227681
24652,2024-01-03,female,60대 이상,게토레이,4.17,2025-03-24 12:29:23.227681
24653,2024-01-03,female,60대 이상,파워에이드,4.17,2025-03-24 12:29:23.227681
24651,2024-01-03,female,60대 이상,포카리스웨트,45.83,2025-03-24 12:29:23.227681
15,2024-01-03,male,10대,링티,21.05,2025-03-24 12:29:23.227681
14,2024-01-03,male,10대,토레타,10.53,2025-03-24 12:29:23.227681
12,2024-01-03,male,10대,게토레이,13.16,2025-03-24 12:29:23.227681
13,2024-01-03,male,10대,파워에이드,21.05,2025-03-24 12:29:23.227681
11,2024-01-03,male,10대,포카리스웨트,34.21,2025-03-24 12:29:23.227681
2255,2024-01-03,male,20대,링티,40.15,2025-03-24 12:29:23.227681
2254,2024-01-03,male,20대,토레타,13.01,2025-03-24 12:29:23.227681
2252,2024-01-03,male,20대,게토레이,7.43,2025-03-24 12:29:23.227681
2253,2024-01-03,male,20대,파워에이드,13.38,2025-03-24 12:29:23.227681
2251,2024-01-03,male,20대,포카리스웨트,26.02,2025-03-24 12:29:23.227681
